Table 11 : Unemployment Rate by Sex and Age,,,,,,,,
,,,,,,,,
,,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate,Unemployment rate
,,(%),(%),(%),(%),(%),(%),(%)
Age group,,15 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 and over,Aged 15 and over
Year/Period,Sex,,,,,,,
3/1983 - 5/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.9
4/1983 - 6/1983,Male,13.3,5.4,3.6,4.0,5.0,3.9,5.0
4/1983 - 6/1983,Female,10.0,3.4,1.9,1.6,2.1,2.3,3.3
4/1983 - 6/1983,Both sexes,11.8,4.5,3.1,3.3,4.3,3.4,4.4
5/1983 - 7/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.0
6/1983 - 8/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.9
7/1983 - 9/1983,Male,11.2,5.2,2.3,3.0,4.6,4.0,4.4
7/1983 - 9/1983,Female,10.8,3.7,2.2,2.5,2.3,[*7],3.7
7/1983 - 9/1983,Both sexes,11.0,4.5,2.3,2.8,3.9,3.0,4.1
8/1983 - 10/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
9/1983 - 11/1983,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.5
10/1983 - 12/1983,Male,10.1,5.4,3.1,3.7,5.9,4.3,4.8
10/1983 - 12/1983,Female,10.9,3.6,1.7,1.5,1.9,[*7],3.4
10/1983 - 12/1983,Both sexes,10.5,4.6,2.6,3.0,4.8,3.3,4.3
11/1983 - 1/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
12/1983 - 2/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.0
1/1984 - 3/1984,Male,9.7,4.4,3.1,3.6,4.4,3.2,4.1
1/1984 - 3/1984,Female,11.7,3.4,2.8,3.1,1.8,2.4,3.7
1/1984 - 3/1984,Both sexes,10.6,4.0,3.0,3.5,3.7,3.0,4.0
2/1984 - 4/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.9
3/1984 - 5/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
4/1984 - 6/1984,Male,12.7,4.0,2.4,3.4,4.5,2.7,3.9
4/1984 - 6/1984,Female,9.4,3.6,1.4,1.9,1.2,1.8,3.0
4/1984 - 6/1984,Both sexes,11.2,3.8,2.1,2.9,3.6,2.4,3.6
5/1984 - 7/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.7
6/1984 - 8/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.8
7/1984 - 9/1984,Male,12.1,4.6,2.2,2.9,4.6,3.7,4.1
7/1984 - 9/1984,Female,11.8,4.2,1.1,1.4,[*7],[*7],3.5
7/1984 - 9/1984,Both sexes,11.9,4.4,1.8,2.4,3.6,3.0,3.9
8/1984 - 10/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.1
9/1984 - 11/1984,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,4.2
10/1984 - 12/1984,Male,13.2,5.0,2.6,3.3,5.6,3.7,4.6
10/1984 - 12/1984,Female,11.0,3.5,2.1,1.4,1.5,[*7],3.2
10/1984 - 12/1984,Both sexes,12.1,4.3,2.4,2.7,4.5,2.6,4.1
11/1984 - 1/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
12/1984 - 2/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
1/1985 - 3/1985,Male,8.1,3.8,2.3,2.5,3.5,4.0,3.4
1/1985 - 3/1985,Female,6.8,2.3,1.6,1.9,1.9,1.2,2.3
1/1985 - 3/1985,Both sexes,7.5,3.1,2.0,2.3,3.0,3.1,3.0
2/1985 - 4/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
3/1985 - 5/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
4/1985 - 6/1985,Male,9.9,3.7,1.9,2.6,3.0,2.4,3.1
4/1985 - 6/1985,Female,10.9,2.4,1.3,0.7,1.0,0.9,2.3
4/1985 - 6/1985,Both sexes,10.4,3.1,1.7,2.0,2.4,1.9,2.8
5/1985 - 7/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
6/1985 - 8/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
7/1985 - 9/1985,Male,11.9,4.8,2.2,2.6,3.6,2.7,3.8
7/1985 - 9/1985,Female,14.8,3.4,1.3,1.5,1.1,[*7],3.3
7/1985 - 9/1985,Both sexes,13.3,4.2,1.9,2.3,2.9,2.0,3.6
8/1985 - 10/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.5
9/1985 - 11/1985,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.6
10/1985 - 12/1985,Male,12.7,3.9,2.2,3.1,4.2,2.9,3.7
10/1985 - 12/1985,Female,11.8,3.0,0.8,1.4,0.8,1.0,2.6
10/1985 - 12/1985,Both sexes,12.3,3.5,1.8,2.6,3.3,2.3,3.3
11/1985 - 1/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.1
12/1985 - 2/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
1/1986 - 3/1986,Male,11.7,3.3,2.6,2.5,3.8,3.1,3.4
1/1986 - 3/1986,Female,9.2,3.1,1.6,0.8,2.0,[*7],2.7
1/1986 - 3/1986,Both sexes,10.6,3.2,2.3,2.0,3.3,2.3,3.1
2/1986 - 4/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
3/1986 - 5/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.9
4/1986 - 6/1986,Male,13.1,3.7,2.0,1.9,3.1,2.7,3.2
4/1986 - 6/1986,Female,10.4,3.3,1.0,0.8,1.4,1.5,2.7
4/1986 - 6/1986,Both sexes,11.9,3.5,1.6,1.6,2.6,2.3,3.0
5/1986 - 7/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.0
6/1986 - 8/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,3.2
7/1986 - 9/1986,Male,11.0,3.8,1.9,1.6,3.4,1.4,3.1
7/1986 - 9/1986,Female,11.8,3.3,1.2,1.1,0.9,[*7],2.8
7/1986 - 9/1986,Both sexes,11.4,3.6,1.7,1.4,2.7,1.2,3.0
8/1986 - 10/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.8
9/1986 - 11/1986,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2.5
10/1986 - 12/1986,Male,7.3,3.0,1.3,1.4,2.4,2.0,2.3
10/1986 - 12/1986,Female,7.3,2.4,0.9,1.0,1.1,[*7],2.0
10/1986 - 12/1986,Both sexes,7.3,2.7,1.1,1.3,2.1,1.5,2.2
11/1986 - 1/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
12/1986 - 2/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
1/1987 - 3/1987,Male,7.8,2.0,1.4,1.6,2.0,1.6,2.0
1/1987 - 3/1987,Female,6.5,2.4,0.8,0.7,0.6,[*7],1.8
1/1987 - 3/1987,Both sexes,7.2,2.2,1.2,1.3,1.7,1.1,1.9
2/1987 - 4/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
3/1987 - 5/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
4/1987 - 6/1987,Male,5.0,1.7,0.9,1.0,1.7,0.7,1.5
4/1987 - 6/1987,Female,6.2,2.1,1.0,[*7],[*7],[*7],1.6
4/1987 - 6/1987,Both sexes,5.6,1.9,1.0,0.8,1.4,0.5,1.5
5/1987 - 7/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
6/1987 - 8/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.8
7/1987 - 9/1987,Male,7.7,2.4,1.1,0.9,1.3,0.5,1.8
7/1987 - 9/1987,Female,7.0,2.7,0.7,0.7,[*7],[*7],1.9
7/1987 - 9/1987,Both sexes,7.4,2.6,1.0,0.8,1.0,0.6,1.8
8/1987 - 10/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
9/1987 - 11/1987,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.9
10/1987 - 12/1987,Male,7.2,1.8,1.1,1.1,1.9,1.5,1.7
10/1987 - 12/1987,Female,5.0,1.8,1.3,0.9,0.9,1.7,1.7
10/1987 - 12/1987,Both sexes,6.2,1.8,1.2,1.1,1.6,1.5,1.7
11/1987 - 1/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.6
12/1987 - 2/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
1/1988 - 3/1988,Male,5.1,1.8,0.8,1.1,1.2,0.9,1.4
1/1988 - 3/1988,Female,3.7,1.7,0.9,[*7],[*7],[*7],1.3
1/1988 - 3/1988,Both sexes,4.5,1.8,0.9,0.8,0.9,0.9,1.3
2/1988 - 4/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
3/1988 - 5/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.4
4/1988 - 6/1988,Male,7.1,2.1,0.9,1.2,1.5,[*7],1.6
4/1988 - 6/1988,Female,5.6,2.0,1.2,0.5,[*7],[*7],1.5
4/1988 - 6/1988,Both sexes,6.5,2.0,1.0,1.0,1.1,[*7],1.6
5/1988 - 7/1988,Both sexes,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.5
